url	source_name	name	form	rig
https://superreview.squig.link/headphones/data/Sony%20MDR-7506%20L2.txt	Sony MDR-7506	Sony MDR-7506	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-7506%20L3.txt	Sony MDR-7506	Sony MDR-7506	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-7506%20R1.txt	Sony MDR-7506	Sony MDR-7506	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-7506%20R2.txt	Sony MDR-7506	Sony MDR-7506	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-7506%20R3.txt	Sony MDR-7506	Sony MDR-7506	over-ear	KB006x + 711
https://superreview.squig.link/data/Sony%20MDR-AS800%20L.txt	Sony MDR-AS800	Sony MDR-AS800	in-ear	711
https://superreview.squig.link/data/Sony%20MDR-AS800%20R.txt	Sony MDR-AS800	Sony MDR-AS800	in-ear	711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20L1.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20L2.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20L3.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20R1.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20R2.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-CD900ST%20R3.txt	Sony MDR-CD900ST	Sony MDR-CD900ST	over-ear	KB006x + 711
https://superreview.squig.link/data/Sony%20MDR-EX15LP%20L.txt	Sony MDR-EX15LP 	Sony MDR-EX15LP	in-ear	711
https://superreview.squig.link/data/Sony%20MDR-EX15LP%20R.txt	Sony MDR-EX15LP 	Sony MDR-EX15LP	in-ear	711
https://superreview.squig.link/data/Sony%20MDR-EX15LP%20(deep)%20L.txt	Sony MDR-EX15LP (deep insert)	Sony MDR-EX15LP (deep insert)	ignore	
https://superreview.squig.link/data/Sony%20MDR-EX15LP%20(deep)%20R.txt	Sony MDR-EX15LP (deep insert)	Sony MDR-EX15LP (deep insert)	ignore	
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20L1.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20L2.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
